Step 64. Reward: 11.349757, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 753.130156. Return so far: 523.399418. Done: 0. Took 267.778602 seconds!
Step 65. Reward: 11.309956, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 754.512916. Return so far: 534.709373. Done: 0. Took 266.984669 seconds!
Step 66. Reward: 11.337895, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 755.531640. Return so far: 546.047269. Done: 0. Took 266.286186 seconds!
Step 67. Reward: 11.278277, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 760.826227. Return so far: 557.325546. Done: 0. Took 263.889037 seconds!
Step 68. Reward: 11.271290, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 770.158959. Return so far: 568.596836. Done: 0. Took 265.732211 seconds!
Step 69. Reward: 11.291938, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 771.014625. Return so far: 579.888774. Done: 0. Took 265.174046 seconds!
Step 70. Reward: 11.273317, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 771.482086. Return so far: 591.162090. Done: 0. Took 266.209491 seconds!
Step 71. Reward: 11.524685, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 771.722520. Return so far: 602.686775. Done: 0. Took 264.714201 seconds!
Step 72. Reward: 11.771418, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 772.567085. Return so far: 614.458194. Done: 0. Took 263.738178 seconds!
Step 73. Reward: 11.938471, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 773.142043. Return so far: 626.396665. Done: 0. Took 263.354769 seconds!
Step 74. Reward: 11.954630, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 773.871666. Return so far: 638.351295. Done: 0. Took 261.778439 seconds!
Step 75. Reward: 11.931501, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 776.869467. Return so far: 650.282796. Done: 0. Took 260.714021 seconds!
Step 76. Reward: 11.951087, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 779.248200. Return so far: 662.233884. Done: 0. Took 260.989771 seconds!
